pre_id,pre_name,pre_order,pre_status
1,&ndash;&ndash;Toàn quốc&ndash;&ndash;,1,1
2,Thừa Thiên Huế,8,1
3,Vũng Tàu,16,1
4,Bạc Liêu,29,1
5,Bắc Cạn,5,1
6,Bắc Giang,6,1
7,Cà Mau,7,1
8,Tp. Hồ Chí Minh,1,1
9,Bình Dương,9,1
10,Bình Định,10,1
11,Bình Phước,11,1
12,Bình Thuận,12,1
13,Bến Tre,13,1
14,Cao Bằng,14,1
15,Cần Thơ,15,1
66,Đà Nẵng,3,1
17,Đắc Lắk,17,1
18,Đắc Nông,18,1
19,Điện Biên,19,1
20,Đồng Nai,20,1
21,Đồng Tháp,21,1
22,Gia Lai,22,1
23,Hà Giang,23,1
24,Hà Nam,24,1
25,Hà Nội,2,1
26,Hà Tây,26,1
27,Hà Tỉnh,27,1
28,Hải Dương,28,1
29,Hải Phòng,4,1
30,Hậu Giang,30,1
31,Hòa Bình,31,1
32,Hưng Yên,32,1
33,Khánh Hòa,33,1
34,Kiên Giang,34,1
35,Kon Tum,35,1
36,Lai Châu,36,1
37,Lâm Đồng,37,1
38,Lạng Sơn,38,1
39,Lào Cai,39,1
40,Long An,40,1
41,Nam Định,41,1
42,Nghệ An,42,1
43,Ninh Bình,43,1
44,Ninh Thuận,44,1
45,Phú Thọ,45,1
46,Phú Yên,46,1
47,Quảng Bình,47,1
48,Quảng Nam,48,1
49,Quảng Ngãi,49,1
50,Quảng Ninh,50,1
51,Quảng Trị,51,1
52,Sóc Trăng,52,1
53,Sơn La,53,1
54,Tây Ninh,54,1
55,Thái Bình,55,1
56,Thái Nguyên,56,1
57,Thanh Hóa,57,1
58,An Giang,58,1
59,Tiền Giang,59,1
60,Bắc Ninh,60,1
61,Trà Vinh,61,1
62,Tuyên Quang,62,1
63,Vĩnh Long,63,1
64,Vĩnh Phúc,64,1
65,Yên Bái,65,1
